岗位,职位,薪资,公司,城市,经验,学历,领域,规模,性质,技能要求,招聘人数,公司详情页,职位详情页,处理后的薪资,平均月薪(元),平均月薪
Python开发工程师,高级Python开发工程师,2-3万,海龙国际,长沙,经验不限,本科,互联网,100-299人,民营,FASTAPI,1,http://company.zhaopin.com/CZ260713980.htm,http://jobs.zhaopin.com/CC260713980J40728893209.htm,20.0-30.0k,25000.0,25.0k
Python开发工程师,C/C++/Java/JS/Python软件开发（全国有岗 接受应届）,1.5-3万,外企德科数字技术有限公司,济南,经验不限,本科,专业技术服务,10000人以上,合资,"C#, Java, Python, MySQL",50,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40704712805.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,python开发,1.5-1.7万,上海韦创立企业管理咨询有限公司,北京,经验不限,学历不限,咨询服务,100-299人,民营,Web端,1,http://company.zhaopin.com/CZ706031980.htm,http://jobs.zhaopin.com/CC706031980J40841606115.htm,15.0-17.0k,16000.0,16.0k
Python开发工程师,Python开发工程师,7000-12000元,河北挚诚建安科技服务有限公司,石家庄,经验不限,学历不限,企业服务,500-999人,民营,"Python, Django, Flask",1,http://company.zhaopin.com/CZL1482995810.htm,http://jobs.zhaopin.com/CCL1482995810J40798237803.htm,7.0-12.0k,9500.0,9.5k
Python开发工程师,python后端开发工程师,1.6-3万·14薪,外企德科数字技术有限公司,东莞,经验不限,本科,专业技术服务,10000人以上,合资,Python,20,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40774527205.htm,16.0-30.0k,23000.0,23.0k
Python开发工程师,初级Python脚本开发,7000-10000元,西安山海鲲鸿信息科技有限公司,西安,经验不限,本科,计算机软件,100-299人,民营,"Python, MongoDB",1,http://company.zhaopin.com/CZ883270330.htm,http://jobs.zhaopin.com/CC883270330J40651668206.htm,7.0-10.0k,8500.0,8.5k
Python开发工程师,高级python后端开发工程师,2-2.5万,海龙国际,长沙,5-10年,本科,互联网,100-299人,民营,FASTAP,1,http://company.zhaopin.com/CZ260713980.htm,http://jobs.zhaopin.com/CC260713980J40738610609.htm,20.0-25.0k,22500.0,22.5k
Python开发工程师,C/C++/Java/JS/Python软件开发（全国有岗 接受应届）,1.5-3万,外企德科数字技术有限公司,深圳,经验不限,本科,专业技术服务,10000人以上,合资,"C#, Java, Python, MySQL",50,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40704710905.htm,15.0-30.0k,22500.0,22.5k
Python开发工程师,python后端软件开发,9000-17000元,北京德辉睿源咨询有限公司,兰州,经验不限,本科,电力/水利/热力/燃气,20-99人,民营,Java,1,http://company.zhaopin.com/CZ632746830.htm,http://jobs.zhaopin.com/CC632746830J40696163710.htm,9.0-17.0k,13000.0,13.0k
Python开发工程师,对日Python开发工程师,2-4万,微联数智(大连)信息技术有限公司,大连,5-10年,大专,计算机软件,100-299人,其他,日语流利,10,http://company.zhaopin.com/CZL1487222630.htm,http://jobs.zhaopin.com/CCL1487222630J40620408206.htm,20.0-40.0k,30000.0,30.0k
Python开发工程师,Python开发,7000-10000元,软通动力信息技术(集团)股份有限公司,西安,1年以下,本科,互联网,10000人以上,民营,AI,1,https://company.zhaopin.com/CZ000544460.htm,http://jobs.zhaopin.com/CC000544460J40719662316.htm,7.0-10.0k,8500.0,8.5k
Python开发工程师,python开发工程师-上海,1.5-3万·14薪,外企德科数字技术有限公司,上海,经验不限,本科,专业技术服务,10000人以上,合资,"Java, C++, C",10,http://company.zhaopin.com/CZL1480117890.htm,http://jobs.zhaopin.com/CCL1480117890J40598703605.htm,15.0-30.0k,22500.0,22.5k
